"","subject_ids","classification_id","workflow_version","task","total_species","species_index","choice","how_many","young","horns","MVNG","RSTNG","STNDNG","TNG"
"1",691284,18059832,1.1,"T1",1,1,"BBN","1","N",NA,1,0,0,0
"2",676511,18059848,1.1,"T1",1,1,"WTRBCK","1","N","N",0,0,1,0
"3",686768,18059858,1.1,"T1",1,1,"BBN","3","S",NA,0,1,0,0
"4",688839,18059866,1.1,"T1",1,1,"BBN","2","S",NA,1,0,0,0
"5",685143,18059871,1.1,"T1",1,1,"BBN","5","S",NA,1,1,0,0
"6",691481,18059872,1.1,"T1",1,1,"BBN","1","N",NA,1,0,0,0
"7",687896,18059875,1.1,"T1",1,1,"BBN","1","N",NA,1,0,0,0
"8",676430,18059895,1.1,"T1",1,1,"MPL","1","N","N",1,0,1,0
"9",685338,18059901,1.1,"T1",1,1,"BBN","2","N",NA,0,0,1,0
"10",687078,18059906,1.1,"T1",1,1,"BBN","1","N",NA,1,0,0,0
"11",691135,18059911,1.1,"T1",1,1,"BBN","1","N",NA,1,0,0,0
"12",689256,18059932,1.1,"T1",1,1,"LPHNT","4","N",NA,1,0,1,0
"13",691435,18059937,1.1,"T1",1,1,"BBN","1","N",NA,1,0,0,0
"14",687185,18059943,1.1,"T1",1,1,"BBN","1","N",NA,1,0,0,0
"15",682396,18059947,1.1,"T1",1,1,"BBN","1",NA,NA,0,1,0,0
"16",691430,18059952,1.1,"T1",1,1,"BBN","2","N",NA,1,0,0,0
"17",682941,18059975,1.1,"T1",1,1,"MPL","1","N","N",0,0,0,1
"18",682941,18059975,1.1,"T1",1,1,"BBN","1","N",NA,0,0,1,0
"19",683093,18059995,1.1,"T1",1,1,"MPL","1150","N","S",0,0,1,1
"20",684513,18060021,1.1,"T1",1,1,"LPHNT","1","N",NA,0,0,1,0
"21",688604,18060029,1.1,"T1",1,1,"MPL","1","N","S",0,0,0,1
